label,index
1,523336
0,523337
3,523338
2,523339
3,523340
3,523341
0,523342
0,523343
1,523344
3,523347
3,523348
1,523349
2,523350
0,523351
4,523352
1,523353
3,523354
2,523356
1,523357
0,523358
2,523360
2,523361
3,523362
0,523363
0,523364
3,523365
1,523366
2,523367
1,523368
3,523369
1,523370
3,523371
2,523372
0,523373
3,523374
4,523375
0,523376
2,523377
0,523378
0,523379
1,523380
0,523407
1,523408
1,523410
0,523411
2,523412
0,523413
0,523414
4,523415
2,523416
1,523417
3,523418
0,523419
4,523420
4,523421
0,523422
1,523423
2,523424
1,523425
1,523426
4,523427
3,523429
1,523431
2,523432
1,523433
4,523434
2,523435
1,523436
1,523437
3,523438
0,523439
0,523440
1,523441
3,523442
0,523443
3,523444
3,523445
3,523446
3,523448
2,523449
4,523450
3,523451
0,523452
1,523454
0,523456
0,523457
1,523458
2,523459
2,523461
1,523462
3,523463
1,523464
1,523466
0,523467
4,523468
2,523469
0,523470
2,523471
2,523472
1,523473
3,523476
4,523477
4,523478
3,523479
3,523480
0,523481
1,523483
3,523484
1,523485
0,523510
1,523511
2,523512
1,523513
4,523514
3,523515
2,523516
0,523517
3,523518
2,523519
2,523520
0,523521
4,523522
0,523523
4,523524
1,523525
2,523526
1,523527
2,523534
3,523535
2,523536
4,523537
2,523538
1,523539
1,523540
2,523541
2,523542
0,523543
2,523544
2,523546
2,523547
1,523548
1,523549
3,523550
3,523551
2,523552
1,523553
2,523554
1,523555
2,523556
3,523557
3,523558
2,523559
1,523560
0,523562
4,523563
2,523564
3,523565
1,523566
3,523567
3,523568
3,523569
4,523570
2,523571
3,523572
4,523573
0,523574
0,523575
1,523576
1,523577
2,523579
0,523580
0,523581
0,523582
2,523584
1,523587
2,523588
1,523589
4,523597
1,523598
4,523599
0,523600
2,523601
3,523602
1,523603
1,523604
1,523605
2,523606
1,523607
0,523608
4,523613
4,523614
1,523615
1,523617
1,523618
1,523619
2,523620
0,523629
3,523651
1,523652
1,523682
1,523688
3,523785
3,523787
3,523793
0,523809
4,524053
0,524054
1,524078
2,524079
1,524081
4,524082
2,524083
0,524084
4,524085
3,524086
2,524087
0,524088
1,524090
1,524091
2,524092
3,524094
2,524095
0,524096
4,524097
1,524098
2,524099
4,524100
2,524101
3,524102
1,524103
2,524104
1,524105
1,524106
2,524107
2,524109
2,524110
2,524111
2,524112
2,524113
1,524114
0,524115
3,524116
2,524117
0,524118
1,524119
2,524120
4,524121
1,524122
2,524123
0,524124
0,524125
0,524180
1,524181
3,524182
0,524186
3,524187
1,524188
3,524189
1,524190
3,524191
3,524192
0,524193
0,524194
1,524195
1,524196
3,524197
1,524198
4,524199
0,524200
0,524201
0,524202
0,524203
3,524204
1,524205
3,524206
4,524207
1,524208
4,524209
1,524210
1,524211
1,524212
0,524214
2,524215
1,524216
4,524217
1,524218
4,524219
1,524220
3,524221
2,524222
1,524223
0,524224
2,524225
0,524226
1,524227
3,524228
4,524229
4,524230
1,524231
1,524232
1,524233
1,524234
4,524235
4,524236
3,524238
1,524239
3,524240
3,524241
1,524242
0,524243
3,524244
0,524245
3,524246
1,524247
1,524248
2,524250
2,524252
0,524253
0,524254
4,524256
1,524257
1,524258
1,524260
2,524261
1,524262
4,524263
2,524264
0,524265
2,524266
1,524267
0,524268
0,524269
1,524270
3,524271
4,524272
1,524273
3,524274
1,524275
4,524276
0,524277
2,524278
4,524279
3,524280
2,524281
1,524282
3,524283
1,524284
