label,index
1,2099603
1,2099604
0,2099606
1,2099607
1,2099608
0,2099609
1,2099612
1,2099614
1,2099615
1,2099617
0,2099618
0,2099619
0,2099620
0,2099621
0,2099622
0,2099624
0,2099626
0,2099630
0,2099631
0,2099632
0,2099633
1,2099634
0,2099635
1,2099637
0,2099643
0,2099644
1,2099649
1,2099650
1,2099656
1,2099664
0,2099665
1,2099668
1,2099669
0,2099671
1,2099673
1,2099674
1,2099679
1,2099686
0,2099688
0,2099692
1,2099694
0,2099695
0,2099696
0,2099697
0,2099698
0,2099701
0,2099702
0,2099703
1,2099705
0,2099707
0,2099708
1,2099710
0,2099712
1,2099713
0,2099714
0,2099715
1,2099717
1,2099718
1,2099720
1,2099722
0,2099723
1,2099724
0,2099725
1,2099726
0,2099729
0,2099730
0,2099732
0,2099733
0,2099734
1,2099735
0,2099737
0,2099740
0,2099741
0,2099743
0,2099744
1,2099745
0,2099746
1,2099748
0,2099750
1,2099752
1,2099753
0,2099755
1,2099756
0,2099757
0,2099766
0,2099777
0,2099778
1,2099785
0,2099787
0,2099788
0,2099791
1,2099792
1,2099794
0,2099796
0,2099798
0,2099801
1,2099804
1,2099805
0,2099810
0,2099811
0,2099814
1,2099815
0,2099816
1,2099825
1,2099826
0,2099832
1,2099833
0,2099835
1,2099836
1,2099840
1,2099852
0,2099858
0,2099859
1,2099861
1,2099862
0,2099867
0,2099872
1,2099873
1,2099874
0,2099876
0,2099877
0,2099878
1,2099880
1,2099881
1,2099882
1,2099883
0,2099886
1,2099887
0,2099888
1,2099889
1,2099890
0,2099891
0,2099892
0,2099910
0,2099912
1,2099920
1,2099935
0,2099937
0,2099939
0,2099940
0,2099941
1,2099946
1,2099950
1,2099951
0,2099954
1,2099955
1,2099956
0,2099957
0,2099958
1,2099959
0,2099960
0,2099961
0,2099962
0,2099963
1,2099964
0,2099972
1,2099974
1,2099976
1,2099979
0,2099980
1,2099981
0,2099982
1,2099985
0,2099986
0,2099987
1,2099988
1,2099989
0,2099994
0,2099995
1,2099996
1,2099999
0,2100001
1,2100003
0,2100007
1,2100008
0,2100010
0,2100012
1,2100013
0,2100015
0,2100017
0,2100021
0,2100022
0,2100023
1,2100025
0,2100029
0,2100030
0,2100031
0,2100033
0,2100040
0,2100044
0,2100046
0,2100047
1,2100049
1,2100050
1,2100059
1,2100061
0,2100063
1,2100065
1,2100066
0,2100067
0,2100068
0,2100074
1,2100076
0,2100077
0,2100079
1,2100083
1,2100085
1,2100092
1,2100093
0,2100103
0,2100105
1,2100114
0,2100119
0,2100122
0,2100128
0,2100130
1,2100141
1,2100143
1,2100148
1,2100151
0,2100152
1,2100153
1,2100154
0,2100162
1,2100163
1,2100164
0,2100165
0,2100166
0,2100170
0,2100173
0,2100175
0,2100177
1,2100180
1,2100185
0,2100187
1,2100189
1,2100192
1,2100193
0,2100194
