Unnamed: 0,label,building.area.m2,index,index_png
0,0,320283.06190000003,1471,263966
1,1,367343.5078,1456,263951
2,2,296193.5345,215,261314
3,3,264880.5676,3816,268749
4,4,273621.9931,960,262405
