,idf.kw,building.area.m2
0,MultiFamily-2004,51888.366
1,MultiFamily-pre-1980,232885.9934
2,SingleFamily-2004,340666.8083
3,SingleFamily-2013,2612.9983
4,SingleFamily-pre-1980,915232.8703
