,idf.kw,building.area.m2
0,MultiFamily-2004,24543.808399999998
1,MultiFamily-2013,316.5103
2,MultiFamily-pre-1980,217304.1551
3,SingleFamily-2004,257945.9542
4,SingleFamily-2013,2484.146
5,SingleFamily-pre-1980,692176.533
