,idf.kw,building.area.m2
0,MultiFamily-2004,84957.3287
1,MultiFamily-2013,1217.0828999999999
2,MultiFamily-pre-1980,310351.1229
3,SingleFamily-2004,116576.4011
4,SingleFamily-2013,368.813
5,SingleFamily-pre-1980,483478.1694
