Unnamed: 0,label,building.area.m2,index,index_png
0,0,184630.8535,109,523510
1,1,217995.3311,8471,545951
2,2,254695.3832,7633,543410
3,3,182172.7195,3143,531684
4,4,157454.6307,5337,536963
