,idf.kw,building.area.m2
0,MultiFamily-2004,146339.5173
1,MultiFamily-2013,2810.1321
2,MultiFamily-pre-1980,387547.3998
3,SingleFamily-2004,109906.6456
4,SingleFamily-2013,2620.9877
5,SingleFamily-pre-1980,633862.9243
