,index,hgt_median_m,area
0,1947,6.26,160.63649663859732
1,5120,7.32,41.16495538643008
2,2023,8.88,159.42227402330286
3,6786,11.66,105.02203212506572
4,5708,5.68,118.11912369137566
5,2424,8.35,154.29599146851243
