Unnamed: 0,label,building.area.m2,index,index_png
0,0,248769.8496,4055,530911
1,1,274367.5156,9190,541140
2,2,277598.5776,2420,528729
3,3,222772.2491,5333,533660
4,4,259579.4149,1192,525706
