,index
798,526027
799,526028
800,526029
802,526041
803,526051
804,526054
805,526056
806,526059
807,526060
808,526062
810,526077
811,526079
812,526082
813,526083
814,527435
816,527447
818,527451
819,527455
821,527457
822,527459
824,527461
826,527492
827,527493
828,527496
829,527497
830,527502
831,527504
832,527505
833,527506
835,527512
836,527513
837,527515
839,527517
840,527519
842,527522
843,527523
846,527531
847,527534
848,527536
849,527538
850,527539
851,527540
852,527541
853,527551
854,527553
856,527556
857,527558
859,527562
860,527563
861,527564
862,527565
863,527566
864,527568
865,527572
866,527574
867,527576
868,527577
869,527578
870,527579
871,527580
872,527583
873,527585
874,527587
875,527589
876,527593
877,527594
878,527597
879,527600
880,527610
882,527621
883,527664
884,527668
887,527677
888,527678
889,527679
890,527684
891,527685
892,527686
893,527687
895,527692
896,527693
898,527697
899,527699
900,527700
904,527706
907,527713
908,527714
909,527755
910,527756
912,527762
915,527767
916,527768
917,527769
918,527770
920,527772
921,527773
922,527774
924,527779
926,527783
928,527790
930,527794
931,527798
932,527799
933,527800
934,527802
935,527805
936,527806
937,527808
938,527810
939,527813
940,527814
942,527816
943,527818
945,527823
946,527828
947,527829
949,527833
951,527857
952,527859
953,527872
954,527875
955,527888
957,527890
958,527891
959,527903
960,527904
961,527905
962,527915
963,527918
964,527920
965,527924
967,527931
968,527932
970,527937
971,527944
973,527948
975,527950
976,527951
977,527953
978,527960
979,527974
980,527983
981,527984
982,527987
983,527990
984,527991
985,527992
987,527998
988,528000
989,528003
990,528004
994,528015
995,528020
998,528026
999,528028
1000,528030
1001,528031
1002,528033
1005,528037
1006,528039
1009,528054
1010,528057
1011,528059
1012,528061
1013,528063
1014,528066
1015,528067
1016,528069
1017,528070
1019,528076
1020,528080
1021,528082
1022,528085
1023,528086
1024,528088
1026,528090
1027,528091
1028,528093
1031,528101
1032,528102
1033,528104
1034,528105
1035,528106
1037,528118
1039,528124
1041,528134
1042,528137
1043,528138
1044,528143
1045,528147
1046,528149
1047,528151
1048,528153
1049,528159
1050,528161
1052,528166
1053,528169
1054,528170
1056,528173
1057,528175
1058,528176
1059,528177
1060,528180
1061,528181
1062,528185
1063,528186
1064,528187
1066,528190
1068,528196
1070,528202
1071,528204
1073,528208
1074,528209
1075,528210
1076,528211
1077,528212
1078,528213
1079,528215
1080,528218
1081,528219
1082,528222
1084,528226
1085,528228
1087,528231
1089,528238
1090,528240
1091,528242
1092,528244
1093,528247
1096,528253
1097,528254
1098,528255
1099,528257
1100,528260
1103,528278
1104,528280
1105,528282
1107,528284
1108,528287
1110,528290
1111,528294
1112,528295
1113,528297
1114,528300
1115,528302
1116,528303
1118,528306
1119,528309
1120,528310
1121,528311
1123,528313
1124,528315
1125,528316
1126,528319
1127,528327
1128,528329
1129,528330
1130,528334
1131,528336
1132,528337
1135,528341
1136,528344
1138,528350
1140,528355
1141,528359
1142,528360
1144,528364
1145,528365
1147,528368
1148,528369
1149,528371
1151,528373
1152,528374
1154,528378
1155,528379
1156,528380
1157,528381
1158,528385
1160,528390
1161,528393
1162,528396
1163,528398
1164,528401
1165,528403
1166,528404
1167,528405
1168,528406
1170,528411
1171,528414
1172,528416
1173,528424
1174,528425
1175,528426
1177,528428
1178,528430
1179,528433
1180,528436
1181,528439
1182,528442
1183,528443
1184,528446
1188,528458
1189,528463
1190,528464
1191,528466
1192,528467
1193,528469
1194,528474
1195,528475
1196,528477
1197,528478
1198,528479
1200,528486
1201,528488
1202,528489
1203,528491
1204,528492
1205,528494
1206,528495
1207,528497
1208,528509
1209,528510
1210,528511
1212,528516
1213,528517
1215,528521
1216,528522
1218,528535
1220,528542
1221,528543
1222,528544
1224,528557
1225,528558
1226,528565
1228,528567
1229,528569
1230,528570
1231,528576
1232,528578
1233,528579
1235,528583
1237,528586
1238,528587
1239,528589
1240,528593
1241,528594
1245,528603
1247,528606
1248,528610
1249,528613
1250,528617
1252,528619
1254,528622
1255,528623
1256,528626
1257,528627
1258,528628
1259,528629
1260,528630
1261,528633
1262,528634
1263,528635
1264,528636
1265,528640
1266,528641
1268,528645
1271,528657
1272,528658
1273,528659
1274,528662
1275,528663
1276,528664
1277,528667
1278,528668
1279,528670
1280,528672
1281,528673
1282,528674
1284,528680
1286,528685
1289,528688
1290,528695
1294,528700
1295,528703
1296,528707
1297,528709
1298,528711
1299,528717
1300,528719
1302,528727
1303,528729
1304,528730
1305,528731
1309,528740
1311,528744
1312,528745
1313,528752
1314,528758
1315,528762
1316,528765
1317,528768
1318,528769
1322,528778
1323,528784
1324,528786
1325,528790
1326,528791
1327,528794
1328,528795
1329,528808
1331,528811
1332,528814
1333,528817
1334,528818
1335,528822
1336,528824
1337,528827
1338,528832
1339,528838
1340,528840
1341,528843
1343,528845
1344,528846
1345,528848
1347,528851
1348,528852
1349,528853
1350,528859
1351,528860
1352,528861
1353,528862
1355,528868
1356,528869
1358,528871
1359,528873
1360,528874
1361,528876
1362,528878
1364,528882
1366,528887
1367,528889
1368,528891
1369,528892
1371,528896
1372,528897
1373,528898
1374,528902
1375,528903
1376,528904
1378,528910
1380,528925
1381,528927
1382,528928
1384,528932
1385,528933
1386,528934
1387,528938
1388,528939
1389,528940
1392,528946
1393,528947
1394,528952
1395,528953
1396,528959
1397,528960
1399,528964
1400,528971
1401,528972
1402,528974
1403,528994
1404,528997
1405,529005
1407,529008
1408,529010
1410,529012
1411,529021
1412,529023
1413,529024
1414,529026
1415,529027
1416,529032
1417,529033
1419,529040
1420,529042
1421,529045
1422,529049
1423,529055
1424,529056
1425,529061
1427,529079
1428,529081
1429,529091
1432,529096
1434,529099
1436,529102
1437,529106
1438,529112
1439,529114
1440,529116
1442,529124
1444,529130
1445,529132
1446,529133
1449,529138
1450,529139
1451,529140
1452,529145
1453,529149
1454,529151
1455,529157
1456,529158
1457,529160
1458,529165
1459,529171
1460,529173
1461,529176
1462,529177
1463,529180
1465,529183
1466,529188
1467,529189
1468,529191
1469,529192
1471,529198
1472,529199
1473,529200
1475,529203
1476,529204
1478,529209
1479,529214
1480,529215
1481,529222
1482,529225
1483,529228
1484,529229
1485,529230
1486,529232
1487,529233
1488,529234
1489,529239
1490,529242
1491,529246
1492,529247
1493,529248
1494,529251
1495,529252
1496,529264
1499,529270
1500,529272
1502,529276
1504,529278
1505,529283
1506,529285
1507,529286
1508,529288
