,OBJECTID
8,1044510
17,1044534
22,1044550
57,1044609
62,1044619
169,1044865
196,1044934
249,1045049
280,1045123
319,1045208
324,1045221
348,1045260
435,1045466
455,1045500
463,1045519
494,1045585
562,1045735
574,1045767
587,1045799
704,1046059
854,1046383
861,1046396
903,1046491
929,1046548
994,1046686
1000,1046701
1089,1046910
1092,1046918
1106,1046953
1156,1047085
1191,1047164
1220,1047221
1270,1047325
1296,1047375
1302,1047388
1371,1047544
1472,1047748
1500,1047811
1574,1047979
1591,1048012
1599,1048029
1620,1048079
1623,1048083
1659,1048178
1706,1048283
1733,1048356
1790,1048505
1973,1048920
2019,1049040
2050,1049104
2094,1049192
2107,1049217
2139,1049283
2152,1049306
2163,1049327
2300,1049612
2378,1049772
2383,1049782
2422,1049874
2453,1049951
2509,1050058
2533,1050123
2566,1050173
2609,1050277
2637,1050360
2678,1050455
2685,1050470
2752,1050610
2791,1050706
2881,1050908
2896,1050946
2906,1050966
2979,1051122
2989,1051148
3028,1051231
3073,1051343
3102,1051395
3338,1051920
3373,1051983
3410,1052066
3432,1052122
3455,1052179
3504,1052287
3527,1052352
3640,1052601
3657,1052643
3684,1052725
3809,1053014
3880,1053200
3953,1053343
3957,1053351
3962,1053366
3967,1053375
3968,1053376
3969,1053378
3993,1053464
4000,1053476
4003,1053489
4004,1053491
4015,1053517
4021,1053531
4030,1053542
4044,1053604
4046,1053609
4051,1053626
4060,1053648
4067,1053665
4068,1053669
4072,1053684
4084,1053715
4085,1053717
4086,1053723
4091,1053733
4095,1053740
4104,1053767
4125,1053822
4126,1053824
4137,1053862
4138,1053863
4148,1053900
4175,1053958
4176,1053960
4211,1054050
4248,1054127
4319,1054281
4321,1054285
4327,1054300
4337,1054320
4342,1054332
4343,1054333
4344,1054342
4345,1054348
4348,1054357
4355,1054367
4357,1054379
4361,1054400
4364,1054404
4371,1054414
4378,1054436
4381,1054450
4382,1054460
4395,1054485
4429,1054562
4430,1054566
4431,1054569
4433,1054572
4446,1054593
4450,1054600
4460,1054625
4471,1054643
4481,1054674
4490,1054698
4500,1054719
4527,1054796
4533,1054810
4548,1054839
4565,1054877
4581,1054915
4744,1055377
4769,1055428
4856,1055714
5309,1056543
5689,1057155
6419,1058383
7212,1059697
7238,1059757
7254,1059795
7255,1059798
7256,1059799
7280,1059858
7302,1059911
7357,1060050
7377,1060098
7382,1060112
7477,1060275
7559,1060403
7620,1060525
7803,1061054
7805,1061059
7816,1061079
7821,1061088
7837,1061128
7838,1061130
7839,1061137
7857,1061185
7862,1061209
7863,1061210
7869,1061223
7886,1061262
7889,1061265
7962,1061483
7968,1061493
7979,1061541
7998,1061610
8054,1061774
8061,1061786
8087,1061863
8102,1061900
8129,1061968
8140,1061993
8143,1061999
8160,1062042
8168,1062057
8187,1062114
8199,1062142
8200,1062146
8233,1062244
8241,1062268
8252,1062294
8276,1062359
8332,1062503
8333,1062504
8364,1062564
8438,1062766
8505,1062965
8531,1063062
8564,1063134
8566,1063136
8583,1063165
8594,1063208
8638,1063328
8655,1063375
8702,1063513
8737,1063600
8773,1063714
8788,1063769
8806,1063850
8807,1063851
8818,1063887
8820,1063889
8832,1063914
8834,1063918
8907,1064088
8914,1064100
8923,1064116
8935,1064140
9014,1064301
9153,1064584
9155,1064588
9160,1064598
9167,1064611
9168,1064621
9174,1064636
9176,1064643
9255,1064835
9272,1064865
9279,1064879
9281,1064883
9310,1064953
9466,1065287
9467,1065289
9496,1065353
9506,1065386
9510,1065398
9512,1065401
9520,1065421
9522,1065425
9523,1065430
9526,1065437
9588,1065531
9594,1065543
9601,1065561
9602,1065565
9604,1065568
9617,1065590
9627,1065609
9637,1065636
9663,1065696
9802,1065981
9804,1065984
9807,1065990
9817,1066009
9900,1066165
10054,1066442
10088,1066497
10090,1066508
10114,1066556
10162,1066655
10163,1066656
10167,1066666
10171,1066676
10173,1066678
10178,1066689
10181,1066693
10191,1066713
10218,1066769
10225,1066792
10245,1066834
10249,1066845
10379,1067148
10382,1067156
10476,1067341
10484,1067353
10485,1067355
10490,1067363
10500,1067382
10510,1067402
10511,1067406
10519,1067437
10578,1067540
10637,1067653
10708,1067819
10732,1067879
10736,1067884
10743,1067903
10847,1068111
10849,1068115
10850,1068117
10860,1068141
10865,1068157
10918,1068274
10922,1068292
10924,1068298
10992,1068440
10993,1068443
10996,1068450
11022,1068520
11080,1068623
11122,1068717
11123,1068719
11127,1068731
11134,1068740
11149,1068765
11220,1068939
11290,1069082
11301,1069102
11303,1069110
11304,1069112
11357,1069221
11362,1069252
11363,1069253
11364,1069255
11368,1069263
11369,1069264
11428,1069370
11471,1069475
11475,1069486
11525,1069601
11548,1069673
11552,1069680
11677,1070065
11679,1070075
11680,1070089
11681,1070091
11698,1070151
11700,1070153
11702,1070166
11708,1070199
