,OBJECTID
548,1045705
549,1045708
550,1045714
551,1045716
552,1045717
553,1045718
554,1045720
555,1045721
556,1045722
557,1045725
558,1045726
559,1045730
560,1045732
561,1045733
563,1045739
564,1045741
565,1045744
566,1045745
567,1045747
568,1045751
569,1045752
570,1045758
571,1045760
572,1045763
573,1045766
575,1045770
576,1045776
577,1045777
578,1045781
579,1045783
580,1045786
581,1045787
582,1045788
583,1045789
584,1045791
585,1045792
586,1045793
588,1045801
589,1045803
590,1045804
591,1045807
592,1045808
593,1045809
594,1045811
595,1045815
596,1045818
597,1045819
598,1045821
599,1045822
600,1045824
601,1045825
602,1045828
603,1045829
604,1045830
605,1045831
606,1045832
607,1045835
608,1045836
609,1045837
610,1045841
611,1045845
612,1045848
613,1045850
614,1045853
615,1045854
616,1045855
617,1045856
618,1045857
619,1045860
620,1045861
621,1045862
622,1045863
623,1045865
624,1045867
625,1045870
626,1045873
627,1045874
628,1045875
629,1045876
630,1045877
631,1045879
632,1045882
633,1045883
634,1045886
635,1045890
636,1045891
637,1045894
638,1045896
639,1045898
640,1045899
641,1045902
642,1045903
643,1045904
644,1045906
645,1045908
646,1045909
647,1045913
648,1045914
649,1045918
650,1045924
651,1045925
652,1045928
653,1045930
654,1045931
655,1045933
656,1045935
657,1045938
658,1045940
659,1045946
660,1045952
661,1045955
662,1045956
663,1045958
664,1045960
665,1045961
666,1045963
667,1045965
668,1045969
669,1045970
670,1045973
671,1045974
672,1045976
673,1045977
674,1045978
675,1045980
676,1045981
677,1045982
678,1045984
679,1045991
680,1045994
681,1045996
682,1046002
683,1046003
684,1046004
685,1046005
686,1046006
687,1046008
688,1046010
689,1046011
690,1046015
691,1046017
692,1046025
693,1046032
694,1046034
695,1046035
696,1046042
697,1046043
698,1046044
699,1046045
700,1046048
701,1046049
702,1046055
703,1046058
705,1046061
706,1046062
707,1046063
708,1046069
709,1046070
710,1046071
711,1046072
712,1046074
713,1046075
714,1046076
715,1046077
716,1046079
717,1046082
718,1046085
719,1046087
720,1046088
721,1046089
722,1046090
723,1046091
724,1046092
725,1046094
726,1046096
727,1046097
728,1046098
729,1046099
730,1046103
731,1046104
732,1046107
733,1046108
734,1046110
735,1046113
736,1046114
737,1046115
738,1046116
739,1046117
740,1046119
741,1046120
742,1046122
743,1046124
744,1046129
745,1046131
746,1046132
747,1046136
748,1046138
749,1046139
750,1046140
751,1046141
752,1046142
753,1046143
754,1046145
755,1046148
756,1046151
757,1046155
758,1046162
759,1046163
760,1046164
761,1046165
762,1046166
763,1046167
764,1046168
765,1046169
766,1046179
767,1046181
768,1046182
769,1046184
770,1046186
771,1046192
772,1046194
773,1046196
774,1046197
775,1046198
776,1046199
777,1046200
778,1046201
779,1046202
780,1046203
781,1046207
782,1046211
783,1046213
784,1046218
785,1046223
786,1046226
787,1046227
788,1046228
789,1046230
790,1046231
791,1046233
792,1046235
793,1046241
794,1046246
795,1046247
796,1046250
797,1046251
798,1046252
799,1046253
800,1046254
801,1046256
802,1046259
803,1046264
804,1046266
805,1046268
806,1046271
807,1046273
808,1046274
809,1046276
810,1046277
811,1046281
812,1046284
813,1046289
814,1046292
815,1046293
816,1046294
817,1046295
818,1046296
819,1046297
820,1046298
821,1046299
822,1046301
823,1046302
824,1046304
825,1046316
826,1046318
827,1046321
828,1046324
829,1046329
830,1046331
831,1046336
832,1046338
833,1046339
834,1046340
835,1046341
836,1046344
837,1046345
838,1046346
839,1046347
840,1046350
841,1046351
842,1046355
843,1046356
844,1046357
845,1046360
846,1046362
847,1046364
848,1046365
849,1046366
850,1046371
851,1046373
852,1046374
853,1046377
855,1046384
856,1046385
857,1046392
858,1046393
859,1046394
860,1046395
862,1046397
863,1046398
864,1046399
865,1046400
866,1046404
867,1046405
868,1046410
869,1046411
870,1046417
871,1046423
872,1046425
873,1046426
874,1046427
875,1046429
876,1046433
877,1046434
878,1046435
879,1046439
880,1046441
881,1046444
882,1046446
883,1046447
884,1046448
885,1046449
886,1046450
887,1046451
888,1046452
889,1046453
890,1046454
891,1046456
892,1046457
893,1046458
894,1046459
895,1046465
896,1046468
897,1046471
898,1046473
899,1046474
900,1046486
901,1046487
902,1046489
904,1046493
905,1046496
906,1046497
907,1046498
908,1046499
909,1046505
910,1046507
911,1046509
912,1046511
913,1046513
914,1046514
915,1046516
916,1046517
917,1046518
918,1046522
919,1046523
920,1046525
921,1046526
922,1046527
923,1046532
924,1046535
925,1046541
926,1046543
927,1046544
928,1046547
930,1046549
931,1046550
932,1046552
933,1046553
934,1046554
935,1046555
936,1046556
937,1046558
938,1046560
939,1046562
940,1046563
941,1046565
942,1046566
943,1046568
944,1046569
945,1046571
946,1046572
947,1046577
948,1046578
949,1046581
950,1046582
951,1046584
952,1046585
953,1046589
954,1046591
955,1046595
956,1046598
957,1046600
958,1046602
959,1046603
960,1046605
961,1046607
962,1046610
963,1046614
964,1046618
965,1046620
966,1046622
967,1046624
968,1046625
969,1046635
970,1046642
971,1046643
972,1046645
973,1046647
974,1046649
975,1046650
976,1046651
977,1046652
978,1046653
979,1046656
980,1046657
981,1046660
982,1046661
983,1046665
984,1046666
985,1046667
986,1046670
987,1046671
988,1046673
989,1046675
990,1046676
991,1046679
992,1046681
993,1046685
995,1046689
996,1046692
997,1046695
998,1046697
999,1046698
1001,1046702
1002,1046703
1003,1046704
1004,1046707
1005,1046709
1006,1046715
1007,1046717
1008,1046719
1009,1046720
1010,1046724
1011,1046725
1012,1046727
1013,1046729
1014,1046730
1015,1046731
1016,1046732
1017,1046733
1018,1046734
1019,1046737
1020,1046741
1021,1046744
1022,1046745
1023,1046747
1024,1046749
1025,1046750
1026,1046751
1027,1046758
1028,1046759
1029,1046761
1030,1046762
1031,1046773
1032,1046774
1033,1046780
1034,1046781
1035,1046783
1036,1046784
1037,1046786
1038,1046792
1039,1046794
1040,1046795
1041,1046797
1042,1046798
1043,1046801
1044,1046804
1045,1046805
1046,1046806
1047,1046810
1048,1046811
1049,1046817
1050,1046818
1051,1046819
1052,1046826
1053,1046827
1054,1046828
1055,1046829
1056,1046831
1057,1046833
1058,1046835
1059,1046849
1060,1046850
1061,1046852
1062,1046853
1063,1046854
1064,1046855
1065,1046857
1066,1046860
1067,1046861
1068,1046862
1069,1046864
1070,1046866
1071,1046873
1072,1046874
1073,1046878
1074,1046879
1075,1046880
1076,1046881
1077,1046882
1078,1046885
1079,1046888
1080,1046895
1081,1046897
1082,1046899
1083,1046902
1084,1046905
1085,1046906
1086,1046907
1087,1046908
1088,1046909
1090,1046913
1091,1046917
1093,1046922
1094,1046924
1095,1046927
1096,1046930
1097,1046931
1098,1046933
1099,1046940
1100,1046942
1101,1046943
1102,1046945
1103,1046946
1104,1046947
1105,1046950
1107,1046955
1108,1046956
1109,1046958
1110,1046961
1111,1046969
1112,1046971
1113,1046972
1114,1046977
1115,1046982
1116,1046984
1117,1046986
1118,1046989
1119,1046990
1120,1046992
1121,1046993
1122,1046994
1123,1046996
1124,1046997
1125,1047001
1126,1047005
1127,1047010
1128,1047012
1129,1047015
1130,1047016
1131,1047019
1132,1047024
1133,1047027
1134,1047029
1135,1047037
1136,1047040
1137,1047043
1138,1047046
1139,1047048
1140,1047052
1141,1047053
1142,1047055
1143,1047056
1144,1047057
1145,1047061
1146,1047062
1147,1047063
1148,1047070
1149,1047071
1150,1047072
1151,1047074
1152,1047075
1153,1047076
1154,1047079
1155,1047080
1157,1047087
1158,1047088
1159,1047090
1160,1047091
1161,1047094
1162,1047097
1163,1047100
1164,1047104
1165,1047105
1166,1047106
1167,1047108
1168,1047109
1169,1047110
1170,1047112
1171,1047113
1172,1047114
1173,1047119
1174,1047120
1175,1047122
1176,1047123
1177,1047125
1178,1047127
1179,1047129
1180,1047131
1181,1047132
1182,1047133
1183,1047135
1184,1047140
1185,1047143
1186,1047149
1187,1047152
1188,1047156
1189,1047158
1190,1047161
1192,1047166
1193,1047167
1194,1047168
1195,1047169
1196,1047170
1197,1047171
1198,1047173
1199,1047175
1200,1047176
1201,1047179
1202,1047180
1203,1047182
1204,1047185
1205,1047186
1206,1047188
1207,1047189
1208,1047190
1209,1047191
1210,1047192
1211,1047196
1212,1047197
1213,1047202
1214,1047205
1215,1047210
1216,1047215
1217,1047216
1218,1047217
1219,1047219
1221,1047222
1222,1047223
1223,1047225
1224,1047227
1225,1047228
1226,1047229
1227,1047230
1228,1047232
1229,1047234
1230,1047235
1231,1047236
1232,1047239
1233,1047241
1234,1047242
1235,1047243
1236,1047244
1237,1047246
1238,1047247
1239,1047248
1240,1047250
1241,1047251
1242,1047252
1243,1047253
1244,1047260
1245,1047263
1246,1047264
1247,1047266
1248,1047270
1249,1047271
1250,1047277
1251,1047278
1252,1047281
1253,1047282
1254,1047289
1255,1047291
1256,1047294
1257,1047295
1258,1047298
1259,1047300
1260,1047301
1261,1047305
1262,1047307
1263,1047311
1264,1047313
1265,1047316
1266,1047318
1267,1047319
1268,1047322
1269,1047323
1271,1047329
1272,1047331
1273,1047335
1274,1047341
1275,1047342
1276,1047343
1277,1047344
1278,1047345
1279,1047347
1280,1047348
1281,1047354
1282,1047356
1283,1047357
1284,1047358
1285,1047359
1286,1047360
1287,1047362
1288,1047363
1289,1047364
1290,1047365
1291,1047367
1292,1047368
1293,1047369
1294,1047370
1295,1047372
1297,1047376
1298,1047377
1299,1047379
1300,1047385
1301,1047387
1303,1047393
