,idf.kw,building.area.m2
0,MultiFamily-2004,158497.8048
1,MultiFamily-2013,3983.2733
2,MultiFamily-pre-1980,983416.9182
3,SingleFamily-2004,766929.7257
4,SingleFamily-2013,6614.9445
5,SingleFamily-pre-1980,1679857.747
