Category1,consumption
MultiFamily-2004,267110590820.80322
MultiFamily-2013,213010726160.93774
MultiFamily-pre-1980,371174087484.29865
SingleFamily-2004,74825658237.97453
SingleFamily-2013,50291843704.03862
SingleFamily-pre-1980,105594120003.26436
