,OBJECTID,idf.kw,FootprintArea.m2,building.area.m2
5182,9725,SingleFamily-pre-1980,185.7213125390662,110.0865
5183,9726,SingleFamily-pre-1980,205.4796105107146,138.2352
5184,9727,SingleFamily-pre-1980,216.38204568971875,138.2352
5186,9731,MultiFamily-pre-1980,285.7710337692852,345.8667
5187,9732,SingleFamily-pre-1980,310.8649174102178,183.4775
5188,9733,SingleFamily-pre-1980,531.7774277577358,456.9751
5189,9734,MultiFamily-pre-1980,237.08809848627152,290.0338
5190,9735,SingleFamily-pre-1980,444.6156345883609,307.2203
5191,9737,SingleFamily-2004,584.1699639655967,718.117
5192,9738,SingleFamily-pre-1980,1886.979854451788,3939.6103
5193,9739,SingleFamily-pre-1980,299.4411011402791,174.5591
5194,9740,SingleFamily-pre-1980,249.1171025277952,199.735
5195,9741,SingleFamily-pre-1980,524.056648452878,298.3019
5196,9742,SingleFamily-pre-1980,274.02134386569503,165.5478
5197,9743,SingleFamily-pre-1980,277.1998894926813,171.4005
5198,9746,SingleFamily-pre-1980,408.3992347582026,399.47
5200,9750,SingleFamily-2004,313.61197913008107,396.5901
5201,9751,SingleFamily-2004,442.3177948862962,368.4414
5202,9753,SingleFamily-pre-1980,352.0083393350996,277.5852
5203,9754,SingleFamily-pre-1980,274.0687324918092,175.3023
5204,9755,SingleFamily-2004,640.5180341673314,504.8186
5205,9756,SingleFamily-pre-1980,428.1554717933139,223.5174
5206,9757,SingleFamily-pre-1980,440.3850953654457,328.6802
5207,9758,SingleFamily-pre-1980,238.8256804539108,150.2193
5208,9759,SingleFamily-pre-1980,222.38895951852427,197.6912
5209,9760,SingleFamily-pre-1980,242.0189064056032,259.0052
5210,9761,SingleFamily-pre-1980,539.6403011165797,397.0546
5211,9762,SingleFamily-pre-1980,218.55842577842253,152.9134
5212,9763,SingleFamily-pre-1980,302.7639079793274,207.5386
5213,9764,SingleFamily-pre-1980,240.0256229138045,215.7138
5214,9766,SingleFamily-pre-1980,236.34283752378943,140.7435
5215,9767,SingleFamily-2004,462.1591776702903,544.5798
5216,9768,SingleFamily-2004,592.0427184774409,695.5423
5217,9769,SingleFamily-pre-1980,229.77885117355217,133.2186
5218,9770,SingleFamily-pre-1980,239.6674818275393,133.2186
5219,9771,SingleFamily-2004,557.8303384763472,597.7186
5220,9772,SingleFamily-pre-1980,408.1973716631528,226.9547
5221,9773,SingleFamily-pre-1980,247.7949701779077,156.4436
5222,9774,SingleFamily-pre-1980,277.3584131257334,209.1179
5223,9775,SingleFamily-pre-1980,154.6925247364323,178.7396
5224,9776,SingleFamily-pre-1980,282.8859896715048,278.7
5225,9777,SingleFamily-2004,269.36884427869126,362.9603
5226,9778,SingleFamily-pre-1980,395.0670583523312,302.854
5227,9779,SingleFamily-pre-1980,279.97697790889623,306.2913
5228,9780,SingleFamily-pre-1980,288.18040381026907,177.5319
5229,9781,SingleFamily-pre-1980,291.00301884159666,192.8604
5230,9782,SingleFamily-pre-1980,254.55792864350065,159.4164
5231,9783,SingleFamily-pre-1980,255.95790157318285,159.4164
5232,9784,SingleFamily-pre-1980,445.96044656915393,436.2584
5233,9785,SingleFamily-pre-1980,287.70956660363703,201.9646
5234,9787,SingleFamily-pre-1980,372.9841880168407,333.2323
5235,9789,SingleFamily-pre-1980,200.8253802899762,214.9706
5236,9791,SingleFamily-pre-1980,230.1970610289493,167.3129
5237,9792,SingleFamily-pre-1980,229.20993573059692,223.5174
5238,9793,SingleFamily-pre-1980,362.9878357284995,319.7618
5239,9794,SingleFamily-pre-1980,253.02250687106,133.9618
5240,9795,SingleFamily-pre-1980,238.58481153854973,178.4609
5241,9796,SingleFamily-pre-1980,248.67696092581716,133.9618
5242,9797,SingleFamily-pre-1980,266.9319927006982,211.2546
5243,9799,SingleFamily-pre-1980,225.10517814632607,133.2186
5244,9800,SingleFamily-pre-1980,221.8587696349712,133.2186
5245,9801,SingleFamily-pre-1980,314.89429410523314,224.4464
5246,9802,SingleFamily-pre-1980,260.8978175811223,153.7495
5247,9803,SingleFamily-pre-1980,249.7014122400257,149.7548
5248,9804,SingleFamily-pre-1980,185.04358729299133,144.5524
5249,9805,SingleFamily-pre-1980,267.1742086930522,155.143
5250,9806,SingleFamily-pre-1980,350.6996605152093,203.0794
5252,9808,SingleFamily-pre-1980,282.4302243888225,243.2122
5253,9809,SingleFamily-pre-1980,267.11074143250266,209.025
5254,9810,SingleFamily-pre-1980,258.83128507150417,298.9522
5255,9811,SingleFamily-pre-1980,392.520953778356,497.944
5256,9812,SingleFamily-pre-1980,276.2096991951778,185.3355
5257,9813,SingleFamily-pre-1980,381.54187061612606,260.8632
5258,9814,SingleFamily-pre-1980,273.90546694507265,344.2874
5259,9815,SingleFamily-pre-1980,348.17538510131686,358.9656
5260,9816,SingleFamily-2004,362.0114956005897,399.0055
5265,9822,SingleFamily-2004,384.5694316600993,479.8285
5266,9824,SingleFamily-2004,458.769210340136,274.055
5267,9826,SingleFamily-pre-1980,374.7303632865516,224.9109
5268,9828,SingleFamily-2004,764.5642237519176,505.2831
5270,9830,SingleFamily-pre-1980,221.2164710397836,190.6308
5271,9831,SingleFamily-pre-1980,257.9227329136982,229.2772
