,index,hgt_median_m,area,yrbuilt
123,123,9.08,3.8711572146097797e-08,1925
124,124,12.57,3.856774800044207e-08,1962
125,125,13.24,3.852605358398762e-08,1926
126,126,9.47,3.4940443450780386e-08,1926
127,127,13.12,3.8446356446573465e-08,1937
128,128,10.41,3.835365037407936e-08,1928
129,129,9.41,3.806797262099072e-08,1960
130,130,12.09,3.792816676782787e-08,1963
131,131,6.02,3.778169561739306e-08,1941
132,132,11.59,3.762649853918201e-08,1960
133,133,13.38,3.757167816351876e-08,1939
134,134,6.51,3.738134633841081e-08,1910
135,135,6.07,3.6957393901333054e-08,1954
136,136,9.7,3.671642793274281e-08,1937
137,137,12.05,3.671057111107701e-08,1927
138,138,12.09,3.6702406207350036e-08,1928
139,139,3.92,3.668012950202679e-08,1967
140,140,12.2,3.666261573125583e-08,1928
141,141,9.51,3.6585767398800915e-08,1926
142,142,6.13,3.645483390572522e-08,1934
143,143,8.25,3.591258087104224e-08,1921
144,144,9.54,3.5888046024729906e-08,1957
145,145,9.12,3.5744279749793716e-08,1959
146,146,6.09,8.135152395264678e-10,1919
147,147,6.09,8.134519328734268e-10,1919
148,148,6.09,1.3493913029415046e-08,1919
149,149,12.66,3.5396088897325465e-08,1962
150,150,12.79,3.515022336328235e-08,1924
151,151,11.3,3.505601926252826e-08,1964
152,152,9.86,3.495663160972909e-08,1970
153,153,8.72,3.486847531252721e-08,1960
154,154,13.0,3.4749199165748515e-08,1931
155,155,9.8,3.457464355717451e-08,1928
156,156,9.41,3.45520093712249e-08,1927
157,157,9.28,3.442848795236464e-08,1988
158,158,12.8,3.435350260974038e-08,1928
159,159,22.34,3.419623750271801e-08,1930
160,160,12.8,3.3849724370694546e-08,1963
161,161,9.41,3.371398267683415e-08,1948
162,162,7.58,3.3708291991117755e-08,1960
163,163,12.08,3.364648633702238e-08,1925
164,164,12.01,3.358328631421094e-08,1921
165,165,7.58,8.102702101064155e-10,1923
166,166,7.58,1.3257837119800986e-08,1923
167,167,5.18,3.3389887922423125e-08,1958
168,168,12.42,3.335140246517387e-08,1925
169,169,10.15,3.327114663276787e-08,1922
170,170,12.47,3.326812675685062e-08,1927
171,171,9.5,3.325298991037584e-08,1964
172,172,12.75,3.309081098377269e-08,1924
173,173,9.18,3.298560985202974e-08,1960
174,174,8.27,3.2978437002218475e-08,1989
175,175,12.75,3.2928015772102464e-08,1930
176,176,8.06,3.292139429646438e-08,1982
177,177,11.94,3.28252320759497e-08,1963
178,178,9.43,3.272730056720857e-08,1977
179,179,8.87,3.270372068793094e-08,1923
180,180,9.86,3.2697138586364675e-08,1927
181,181,9.51,3.26156474749754e-08,1981
182,182,7.75,3.2503537532771553e-08,1922
183,183,7.75,5.157446686889846e-09,1922
184,184,3.14,3.2503537532771553e-08,1922
185,185,3.14,5.157446686889846e-09,1922
186,186,9.12,3.238885187092353e-08,1925
187,187,10.15,3.2384353005912704e-08,1974
188,188,12.17,3.225482401255605e-08,1974
189,189,8.12,3.2165321241415326e-08,1976
190,190,11.69,3.201093884150959e-08,1991
191,191,12.23,3.198799761514185e-08,1929
192,192,10.9,3.196415918816034e-08,1960
193,193,13.18,3.189543885935176e-08,1965
194,194,11.99,3.1815669021209145e-08,1913
195,195,9.33,3.1783310201495176e-08,1951
196,196,8.24,3.168073245448475e-08,1927
197,197,10.45,3.149494312626024e-08,1904
198,198,8.49,3.146061471292485e-08,1904
199,199,12.06,3.140450288864719e-08,1965
200,200,9.25,3.13734416425352e-08,1958
201,201,9.51,3.136291121145054e-08,1960
202,202,3.97,3.12752783564018e-08,1920
203,203,10.09,3.115811763309645e-08,1924
204,204,11.12,3.1108138031006866e-08,1952
205,205,12.29,3.0981470769905544e-08,1927
206,206,8.1,3.0853400562793837e-08,1962
207,207,11.83,3.067045811017518e-08,1947
208,208,5.89,3.058694921721983e-08,1935
209,209,12.63,3.049926849857764e-08,1922
210,210,12.98,3.0375994326372844e-08,1912
211,211,12.98,6.625111570416805e-09,1912
212,212,4.04,3.0375994326372844e-08,1912
213,213,4.04,6.625111570416805e-09,1912
214,214,10.0,3.018827025976617e-08,1922
215,215,9.43,1.800686343351526e-08,1925
216,216,7.64,2.9922917730038446e-08,1909
217,217,7.64,7.295018295780933e-09,1909
218,218,5.67,2.9922917730038446e-08,1909
219,219,5.67,7.295018295780933e-09,1909
220,220,12.91,2.988994241180337e-08,1927
221,221,5.05,2.9878046867146723e-08,1928
222,222,5.05,2.4915252809944557e-08,1928
223,223,5.05,2.3389354705197372e-08,1928
224,224,4.54,2.9878046867146723e-08,1928
225,225,4.54,2.4915252809944557e-08,1928
226,226,4.54,2.3389354705197372e-08,1928
227,227,5.07,2.9878046867146723e-08,1928
228,228,5.07,2.4915252809944557e-08,1928
229,229,5.07,2.3389354705197372e-08,1928
230,230,11.45,2.9781521747396718e-08,1968
231,231,5.82,2.977619224197152e-08,1926
232,232,5.85,1.277343293974249e-08,1926
233,233,10.72,2.958455156590087e-08,1924
234,234,11.91,2.9552682451010794e-08,1981
235,235,8.77,2.9509467438458598e-08,1975
236,236,8.78,2.9506840661150418e-08,1949
237,237,9.9,2.9470931287941417e-08,1958
238,238,6.72,8.036835423402521e-10,1926
239,239,6.72,1.6322175088088748e-08,1926
240,240,7.08,2.9422196854570902e-08,1925
241,241,11.77,2.9369719416667594e-08,1964
242,242,7.43,2.9361363821590828e-08,1928
243,243,7.43,5.396061268832605e-09,1928
244,244,3.54,2.9361363821590828e-08,1928
245,245,3.54,5.396061268832605e-09,1928
246,246,4.74,2.9350103469095192e-08,1960
247,247,9.3,2.9314947520092895e-08,1929
248,248,9.66,2.9205965829201222e-08,2005
249,249,12.51,2.9208087097602088e-08,1922
250,250,13.13,2.9118526035873895e-08,1929
251,251,8.95,2.9107528809580148e-08,1924
252,252,8.07,2.9011953585150583e-08,1916
253,253,8.98,2.8981721478818604e-08,1922
254,254,11.1,2.875506119316203e-08,1959
255,255,9.4,2.873729334187151e-08,2008
256,256,10.72,2.8731827086326177e-08,1931
257,257,6.69,2.863581702906349e-08,1927
258,258,11.12,2.8608774747370825e-08,1912
259,259,13.51,2.8494498287485504e-08,1928
260,260,6.24,2.83692779871655e-08,1948
261,261,11.75,2.8036118205081508e-08,1981
262,262,9.97,2.8028267339296405e-08,1974
263,263,9.93,2.802347679459514e-08,1962
264,264,8.71,2.793839445952423e-08,1941
265,265,7.83,2.7928106478715676e-08,1930
266,266,9.28,2.7922002699281404e-08,1959
267,267,6.97,2.7876980512472058e-08,1960
268,268,10.09,2.782356869430911e-08,1961
269,269,9.82,2.7608373234762965e-08,1926
270,270,9.46,2.7531318508763708e-08,1952
271,271,8.8,2.7499247190963753e-08,1919
272,272,8.77,2.748105988341476e-08,1965
273,273,9.29,2.7477546438725996e-08,1964
274,274,11.35,2.7462095644702553e-08,1959
275,275,11.35,6.426067480985309e-09,1959
276,276,7.64,2.7438787204665606e-08,1910
277,277,9.95,2.742528086671162e-08,1948
278,278,11.53,2.7363115959023367e-08,1957
279,279,8.7,2.732938473219109e-08,1960
280,280,8.66,2.731989332389832e-08,1949
281,281,5.13,2.7296731450060706e-08,1910
282,282,10.01,2.726413542782223e-08,1923
283,283,8.54,2.7228164631848902e-08,1972
284,284,7.82,2.7164767605423715e-08,1962
285,285,6.25,2.714597028096973e-08,1938
286,286,6.23,1.2889697390180444e-08,1938
287,287,8.89,2.7093530191292637e-08,1922
288,288,9.29,2.7030021100182714e-08,1921
289,289,14.14,2.699362416541103e-08,1939
290,290,11.71,2.6880066423164413e-08,1981
291,291,9.25,2.6855033479851025e-08,1960
292,292,8.79,2.679334737625843e-08,1920
293,293,12.0,2.676730095649963e-08,1959
294,294,7.81,2.6750738262856212e-08,1924
295,295,9.32,2.6727699722425907e-08,1926
296,296,8.01,2.6621603976176803e-08,1925
297,297,5.75,2.6619147560964393e-08,1923
298,298,8.96,2.6610529737215484e-08,1922
299,299,10.09,2.6539561297105992e-08,1959
300,300,9.66,2.6526451788352477e-08,1926
301,301,4.74,2.6512990279416073e-08,1940
302,302,9.58,2.6459075448184104e-08,1913
303,303,9.58,1.7006336844284615e-09,1913
304,304,7.74,2.6459075448184104e-08,1913
305,305,7.74,1.7006336844284615e-09,1913
306,306,9.01,2.6354509211365957e-08,1928
307,307,9.22,2.6349659977590187e-08,1921
308,308,9.38,2.6329197395834445e-08,1922
309,309,8.92,2.626135897648526e-08,1953
310,310,8.93,2.616709208158693e-08,1912
311,311,6.61,2.613081997838368e-08,1929
