,label,index,OBJECTID,vintage,idf.kw,FootprintArea.m2,building.area.m2,HEIGHT
12204,3,8212,8212,before 1980,SingleFamily-pre-1980,332.2746270416854,191.6527,21.85
12205,3,8215,8215,before 1980,SingleFamily-pre-1980,266.9894600151697,234.3867,22.4
12206,3,8221,8221,before 1980,SingleFamily-pre-1980,310.2802884487883,191.6527,21.62
12207,0,8222,8222,1981-2008 (2004),SingleFamily-2004,304.1888141478799,361.8455,27.77
12208,3,8223,8223,before 1980,SingleFamily-pre-1980,261.8570748227605,236.1518,23.95
12209,3,8225,8225,before 1980,SingleFamily-pre-1980,202.9666457629173,130.2458,12.33
12210,4,8226,8226,before 1980,SingleFamily-pre-1980,203.08740926543163,140.7435,13.81
12211,0,8229,8229,before 1980,SingleFamily-pre-1980,480.6398374065025,353.4845,19.84
12212,0,8230,8230,before 1980,SingleFamily-pre-1980,348.1315489165717,251.5732,15.69
12213,0,8232,8232,1981-2008 (2004),SingleFamily-2004,69.00063653372221,420.6512,17.74
12214,1,8235,8235,before 1980,SingleFamily-pre-1980,243.06569114504964,163.504,16.7
12215,1,8236,8236,before 1980,SingleFamily-pre-1980,491.3133675843057,271.1751,17.85
12216,1,8237,8237,before 1980,SingleFamily-pre-1980,458.2627129885103,232.3429,15.73
12217,2,8238,8238,before 1980,SingleFamily-pre-1980,281.75854338894135,261.6993,19.09
12218,3,8239,8239,before 1980,SingleFamily-pre-1980,288.36681668190494,276.4704,25.06
12219,3,8241,8241,before 1980,SingleFamily-pre-1980,295.28043986518,179.297,14.56
12220,2,8242,8242,before 1980,SingleFamily-pre-1980,258.12009139305,176.8816,14.08
12221,3,8243,8243,before 1980,SingleFamily-pre-1980,230.54969039411105,215.3422,24.18
12222,0,8244,8244,before 1980,SingleFamily-pre-1980,326.60063849678085,222.4955,15.39
12223,4,8245,8245,before 1980,SingleFamily-pre-1980,222.545368397679,231.6926,26.91
12224,3,8246,8246,before 1980,SingleFamily-pre-1980,247.39999978994703,203.3581,17.87
12225,4,8249,8249,before 1980,SingleFamily-pre-1980,227.340863317721,248.2288,25.07
12226,2,825,825,before 1980,SingleFamily-pre-1980,109.23272777963054,104.2338,15.75
12227,3,8253,8253,before 1980,SingleFamily-pre-1980,81.50140104529375,228.8127,10.1
12228,1,8255,8255,before 1980,SingleFamily-pre-1980,334.8149167082444,244.6986,13.96
12229,3,8256,8256,before 1980,SingleFamily-pre-1980,211.0484292295392,189.2373,22.46
12230,4,8257,8257,before 1980,SingleFamily-pre-1980,149.8975723221097,148.5471,24.04
12231,3,8259,8259,before 1980,SingleFamily-pre-1980,189.8502796429512,122.4422,13.6
12232,3,8260,8260,before 1980,SingleFamily-pre-1980,191.39028349260064,173.5372,23.79
12233,3,8261,8261,before 1980,SingleFamily-pre-1980,49.99890325045299,169.4496,13.42
12234,1,8262,8262,1981-2008 (2004),SingleFamily-2004,233.4007807710885,265.6011,29.19
12235,3,8264,8264,before 1980,MultiFamily-pre-1980,297.28356601665973,176.8816,12.4
12236,4,8266,8266,before 1980,SingleFamily-pre-1980,351.67913520967807,370.9497,25.56
12237,3,8271,8271,before 1980,SingleFamily-pre-1980,228.4603863574576,188.0296,20.26
12238,3,8272,8272,before 1980,SingleFamily-pre-1980,584.0334325400612,363.1461,23.09
12239,3,8277,8277,before 1980,SingleFamily-pre-1980,415.177839450869,276.1917,17.87
12240,3,8278,8278,before 1980,SingleFamily-pre-1980,406.07217658750574,262.9999,15.33
12241,1,828,828,before 1980,MultiFamily-pre-1980,94.28711870863346,133.776,23.45
12242,1,8295,8295,before 1980,SingleFamily-pre-1980,352.9012168168883,195.09,18.38
12243,3,8298,8298,before 1980,SingleFamily-pre-1980,416.7365167135891,253.5241,17.17
12244,4,83,83,before 1980,SingleFamily-pre-1980,69.44718632564884,46.1713,17.2
12245,0,830,830,before 1980,SingleFamily-pre-1980,266.16257542468907,385.1634,27.87
12246,3,8313,8313,before 1980,SingleFamily-pre-1980,313.3147199448089,267.552,21.91
12247,1,8316,8316,before 1980,SingleFamily-pre-1980,1203.441776988012,1805.976,29.44
12248,2,8323,8323,1981-2008 (2004),SingleFamily-2004,341.78963973092976,426.9684,25.08
12249,3,8326,8326,before 1980,SingleFamily-pre-1980,513.9170380377052,287.6184,16.45
12250,3,8327,8327,before 1980,SingleFamily-pre-1980,550.1042312101744,540.7709,26.39
12251,2,8328,8328,before 1980,SingleFamily-pre-1980,380.7308756664365,324.3139,13.67
12252,0,8333,8333,before 1980,SingleFamily-pre-1980,435.8239476927856,286.8752,13.08
12253,0,8338,8338,before 1980,SingleFamily-pre-1980,288.3417340566893,155.5146,13.21
12254,1,834,834,1981-2008 (2004),MultiFamily-2004,129.39224232666135,191.5598,24.93
12255,3,8340,8340,before 1980,SingleFamily-pre-1980,394.623560142138,295.6078,23.74
12256,3,8341,8341,before 1980,SingleFamily-pre-1980,122.60566841559282,376.1521,21.18
12257,3,8342,8342,before 1980,SingleFamily-pre-1980,87.54359125998874,74.2271,12.22
12258,3,8344,8344,1981-2008 (2004),SingleFamily-2004,229.5391744397892,302.3895,21.55
12259,2,8345,8345,before 1980,SingleFamily-pre-1980,137.53141273483533,98.8456,11.14
12260,3,835,835,1981-2008 (2004),SingleFamily-2004,74.62317882869905,104.048,21.87
12261,3,8352,8352,before 1980,SingleFamily-pre-1980,223.8340407722724,286.8752,21.63
12262,3,8353,8353,before 1980,SingleFamily-pre-1980,288.2844472128779,187.5651,20.97
12263,3,8355,8355,before 1980,SingleFamily-pre-1980,384.4008734526519,193.3249,18.43
12264,3,8356,8356,1981-2008 (2004),SingleFamily-2004,247.6866790608112,264.0218,22.0
12265,3,8358,8358,before 1980,SingleFamily-pre-1980,246.79677934147745,169.078,16.28
12266,0,8361,8361,before 1980,SingleFamily-pre-1980,247.2893795910822,254.2673,22.9
12267,1,8362,8362,before 1980,SingleFamily-pre-1980,48.23616797414629,138.2352,14.17
12268,3,8363,8363,before 1980,SingleFamily-pre-1980,178.48328458573886,185.4284,22.9
12269,4,8364,8364,before 1980,SingleFamily-pre-1980,189.26563765205256,204.1013,23.62
12270,3,8365,8365,before 1980,SingleFamily-pre-1980,518.4558630539163,292.5421,14.31
12271,3,8366,8366,before 1980,SingleFamily-pre-1980,141.8492528188542,319.9476,16.49
12272,3,8368,8368,before 1980,SingleFamily-pre-1980,300.85024463944154,195.2758,17.63
12273,2,837,837,before 1980,SingleFamily-pre-1980,167.4746859986483,166.3839,19.93
12274,3,8372,8372,before 1980,SingleFamily-pre-1980,317.43667773957986,161.3673,15.07
12275,2,8382,8382,before 1980,SingleFamily-pre-1980,154.99156848093665,106.6492,14.05
12276,3,8384,8384,1981-2008 (2004),SingleFamily-2004,151.2055987508544,195.1829,20.17
12277,1,8385,8385,before 1980,SingleFamily-pre-1980,170.7242886530351,117.6114,9.95
12278,3,8386,8386,before 1980,SingleFamily-pre-1980,202.639276820824,199.735,25.67
12279,4,8392,8392,1981-2008 (2004),SingleFamily-2004,212.38118604551457,215.8067,21.98
12280,0,8393,8393,1981-2008 (2004),SingleFamily-2004,218.0022429857155,215.8067,23.86
12281,0,8394,8394,before 1980,SingleFamily-pre-1980,219.10312308275184,142.0441,16.63
12282,3,8395,8395,before 1980,SingleFamily-pre-1980,263.4578605926212,180.5047,13.29
12283,1,8396,8396,before 1980,SingleFamily-pre-1980,184.48095450405225,230.8565,24.1
12284,0,8397,8397,before 1980,SingleFamily-pre-1980,209.5667374094856,146.2246,17.54
12285,3,8398,8398,before 1980,SingleFamily-pre-1980,242.4750755323797,136.9346,15.77
12286,3,8399,8399,before 1980,SingleFamily-pre-1980,168.98454160727476,144.1808,17.27
