category,consumption,Category1,epw
MultiFamily-pre-1980____107,358252436583.2947,MultiFamily-pre-1980,107
MultiFamily-pre-1980____110,486644546512.16064,MultiFamily-pre-1980,110
MultiFamily-pre-1980____111,441987693322.90137,MultiFamily-pre-1980,111
MultiFamily-pre-1980____120,344915897896.8053,MultiFamily-pre-1980,120
MultiFamily-pre-1980____124,463607299024.8954,MultiFamily-pre-1980,124
MultiFamily-pre-1980____125,438458153622.205,MultiFamily-pre-1980,125
MultiFamily-pre-1980____135,490838020311.2229,MultiFamily-pre-1980,135
MultiFamily-pre-1980____23,309670305424.15405,MultiFamily-pre-1980,23
MultiFamily-pre-1980____24,370222372550.5394,MultiFamily-pre-1980,24
MultiFamily-pre-1980____25,390681904536.57434,MultiFamily-pre-1980,25
MultiFamily-pre-1980____30,269017011135.05112,MultiFamily-pre-1980,30
MultiFamily-pre-1980____34,285561290138.18176,MultiFamily-pre-1980,34
MultiFamily-pre-1980____35,286416514285.8773,MultiFamily-pre-1980,35
MultiFamily-pre-1980____36,288346314746.0366,MultiFamily-pre-1980,36
MultiFamily-pre-1980____37,360197639285.1681,MultiFamily-pre-1980,37
MultiFamily-pre-1980____38,374637800373.09186,MultiFamily-pre-1980,38
MultiFamily-pre-1980____39,386942153602.8155,MultiFamily-pre-1980,39
MultiFamily-pre-1980____40,403385920464.3596,MultiFamily-pre-1980,40
MultiFamily-pre-1980____41,405223967231.49695,MultiFamily-pre-1980,41
MultiFamily-pre-1980____48,352987430665.0751,MultiFamily-pre-1980,48
MultiFamily-pre-1980____49,319498071516.6727,MultiFamily-pre-1980,49
MultiFamily-pre-1980____50,313257319072.0305,MultiFamily-pre-1980,50
MultiFamily-pre-1980____51,326728670152.4868,MultiFamily-pre-1980,51
MultiFamily-pre-1980____52,333988556862.98706,MultiFamily-pre-1980,52
MultiFamily-pre-1980____53,371636252331.0565,MultiFamily-pre-1980,53
MultiFamily-pre-1980____54,407929753090.06323,MultiFamily-pre-1980,54
MultiFamily-pre-1980____62,348032508863.57245,MultiFamily-pre-1980,62
MultiFamily-pre-1980____63,319746233877.37616,MultiFamily-pre-1980,63
MultiFamily-pre-1980____64,304224253258.12665,MultiFamily-pre-1980,64
MultiFamily-pre-1980____65,317717110619.4072,MultiFamily-pre-1980,65
MultiFamily-pre-1980____66,355577707919.6692,MultiFamily-pre-1980,66
MultiFamily-pre-1980____67,411057047006.0765,MultiFamily-pre-1980,67
MultiFamily-pre-1980____69,486074244500.5074,MultiFamily-pre-1980,69
MultiFamily-pre-1980____76,326570772061.97577,MultiFamily-pre-1980,76
MultiFamily-pre-1980____77,319276153478.8933,MultiFamily-pre-1980,77
MultiFamily-pre-1980____78,318900040686.25073,MultiFamily-pre-1980,78
MultiFamily-pre-1980____79,326282966427.17346,MultiFamily-pre-1980,79
MultiFamily-pre-1980____80,407695970043.2589,MultiFamily-pre-1980,80
MultiFamily-pre-1980____82,500120246182.61194,MultiFamily-pre-1980,82
MultiFamily-pre-1980____83,495571746827.0508,MultiFamily-pre-1980,83
MultiFamily-pre-1980____9,302760146852.92053,MultiFamily-pre-1980,9
MultiFamily-pre-1980____91,345350524153.7671,MultiFamily-pre-1980,91
MultiFamily-pre-1980____92,320107191270.0134,MultiFamily-pre-1980,92
MultiFamily-pre-1980____93,346212241393.97784,MultiFamily-pre-1980,93
MultiFamily-pre-1980____96,506264843357.9027,MultiFamily-pre-1980,96
MultiFamily-pre-1980____97,503694218997.65533,MultiFamily-pre-1980,97
SingleFamily-2004____10,70900616452.9413,SingleFamily-2004,10
SingleFamily-2004____105,65953092988.73319,SingleFamily-2004,105
SingleFamily-2004____106,64522792150.86787,SingleFamily-2004,106
SingleFamily-2004____107,69388679331.31729,SingleFamily-2004,107
SingleFamily-2004____109,103832968938.71017,SingleFamily-2004,109
SingleFamily-2004____11,73166950367.9061,SingleFamily-2004,11
SingleFamily-2004____110,94046968330.70087,SingleFamily-2004,110
SingleFamily-2004____111,86661282079.23965,SingleFamily-2004,111
SingleFamily-2004____119,70057602883.12451,SingleFamily-2004,119
SingleFamily-2004____120,66153103692.499596,SingleFamily-2004,120
SingleFamily-2004____121,80523892620.46739,SingleFamily-2004,121
SingleFamily-2004____123,102643951846.6047,SingleFamily-2004,123
SingleFamily-2004____124,90220840675.38107,SingleFamily-2004,124
SingleFamily-2004____125,85973823985.61732,SingleFamily-2004,125
SingleFamily-2004____135,92477380706.37234,SingleFamily-2004,135
SingleFamily-2004____136,101200241042.3514,SingleFamily-2004,136
SingleFamily-2004____137,96351139601.26874,SingleFamily-2004,137
SingleFamily-2004____138,88152664988.2449,SingleFamily-2004,138
SingleFamily-2004____139,87845008648.29312,SingleFamily-2004,139
SingleFamily-2004____23,60443367064.272644,SingleFamily-2004,23
SingleFamily-2004____24,71485560627.86649,SingleFamily-2004,24
SingleFamily-2004____25,75440375788.49759,SingleFamily-2004,25
SingleFamily-2004____27,75493748411.52896,SingleFamily-2004,27
SingleFamily-2004____30,52520792782.786804,SingleFamily-2004,30
SingleFamily-2004____34,55993443447.35725,SingleFamily-2004,34
SingleFamily-2004____35,56249141699.9196,SingleFamily-2004,35
SingleFamily-2004____36,56601367867.663055,SingleFamily-2004,36
SingleFamily-2004____37,67916608117.46184,SingleFamily-2004,37
SingleFamily-2004____38,70852234077.25307,SingleFamily-2004,38
SingleFamily-2004____39,73666409222.24924,SingleFamily-2004,39
SingleFamily-2004____40,78555061240.64903,SingleFamily-2004,40
SingleFamily-2004____41,79582212133.74492,SingleFamily-2004,41
SingleFamily-2004____48,66887447840.43745,SingleFamily-2004,48
SingleFamily-2004____49,61783098386.10503,SingleFamily-2004,49
SingleFamily-2004____50,60732831344.34503,SingleFamily-2004,50
SingleFamily-2004____51,62903604465.47626,SingleFamily-2004,51
SingleFamily-2004____52,64538192099.219086,SingleFamily-2004,52
SingleFamily-2004____53,71435865414.68292,SingleFamily-2004,53
SingleFamily-2004____54,79757700515.0214,SingleFamily-2004,54
SingleFamily-2004____55,85428341522.18039,SingleFamily-2004,55
SingleFamily-2004____62,66096612805.78415,SingleFamily-2004,62
SingleFamily-2004____63,61803141611.16081,SingleFamily-2004,63
SingleFamily-2004____64,59149532398.61557,SingleFamily-2004,64
SingleFamily-2004____65,61452049476.86342,SingleFamily-2004,65
SingleFamily-2004____66,68826105818.40477,SingleFamily-2004,66
SingleFamily-2004____67,79502584025.7336,SingleFamily-2004,67
SingleFamily-2004____68,88281401590.2997,SingleFamily-2004,68
SingleFamily-2004____69,93832544445.98727,SingleFamily-2004,69
SingleFamily-2004____76,62850916504.093094,SingleFamily-2004,76
SingleFamily-2004____77,62020217157.14172,SingleFamily-2004,77
SingleFamily-2004____78,61602517098.17435,SingleFamily-2004,78
SingleFamily-2004____79,62978886800.33323,SingleFamily-2004,79
SingleFamily-2004____80,78056479708.84546,SingleFamily-2004,80
SingleFamily-2004____82,96114374358.83188,SingleFamily-2004,82
SingleFamily-2004____83,95396356884.9867,SingleFamily-2004,83
SingleFamily-2004____9,59318470983.01318,SingleFamily-2004,9
SingleFamily-2004____91,66176307273.84154,SingleFamily-2004,91
SingleFamily-2004____92,61791177252.75487,SingleFamily-2004,92
SingleFamily-2004____93,66081309930.41379,SingleFamily-2004,93
SingleFamily-2004____96,97264388497.69598,SingleFamily-2004,96
SingleFamily-2004____97,97429372494.11177,SingleFamily-2004,97
SingleFamily-2013____10,50006329147.60906,SingleFamily-2013,10
SingleFamily-2013____105,46345055540.7157,SingleFamily-2013,105
SingleFamily-2013____106,45402550873.362564,SingleFamily-2013,106
SingleFamily-2013____107,48837359323.35019,SingleFamily-2013,107
SingleFamily-2013____110,66810706444.434845,SingleFamily-2013,110
SingleFamily-2013____111,60571363810.392975,SingleFamily-2013,111
SingleFamily-2013____120,46505226503.60211,SingleFamily-2013,120
SingleFamily-2013____121,57080214197.39331,SingleFamily-2013,121
SingleFamily-2013____124,63603007538.54297,SingleFamily-2013,124
SingleFamily-2013____23,43989450527.868645,SingleFamily-2013,23
SingleFamily-2013____24,50373985268.30682,SingleFamily-2013,24
SingleFamily-2013____25,52801961201.08624,SingleFamily-2013,25
SingleFamily-2013____30,38307391067.38313,SingleFamily-2013,30
SingleFamily-2013____31,38913747760.60521,SingleFamily-2013,31
SingleFamily-2013____34,41073715334.37569,SingleFamily-2013,34
SingleFamily-2013____35,41258739620.6573,SingleFamily-2013,35
SingleFamily-2013____36,41537174889.938736,SingleFamily-2013,36
SingleFamily-2013____37,48189718044.507744,SingleFamily-2013,37
SingleFamily-2013____38,49751268512.77219,SingleFamily-2013,38
SingleFamily-2013____39,51465888328.9259,SingleFamily-2013,39
SingleFamily-2013____40,54625799677.308914,SingleFamily-2013,40
SingleFamily-2013____41,55423365122.72359,SingleFamily-2013,41
SingleFamily-2013____48,47910280248.93819,SingleFamily-2013,48
SingleFamily-2013____49,44893902592.22277,SingleFamily-2013,49
SingleFamily-2013____50,44126007494.2433,SingleFamily-2013,50
SingleFamily-2013____51,44928896162.98198,SingleFamily-2013,51
SingleFamily-2013____52,45636138164.42377,SingleFamily-2013,52
SingleFamily-2013____53,49956013298.81031,SingleFamily-2013,53
SingleFamily-2013____54,55641348935.43141,SingleFamily-2013,54
SingleFamily-2013____55,59929880815.56793,SingleFamily-2013,55
SingleFamily-2013____62,47261587076.29973,SingleFamily-2013,62
SingleFamily-2013____63,44521634508.02861,SingleFamily-2013,63
SingleFamily-2013____64,42607737869.31958,SingleFamily-2013,64
SingleFamily-2013____65,43650254448.28775,SingleFamily-2013,65
SingleFamily-2013____66,48494710862.32052,SingleFamily-2013,66
SingleFamily-2013____67,55894177009.30957,SingleFamily-2013,67
SingleFamily-2013____68,62452958769.91574,SingleFamily-2013,68
SingleFamily-2013____69,66620711894.90912,SingleFamily-2013,69
