Cluster Center,Closest Point Index
"[12.118731498718262, 6.484292030334473]",8834
"[-1.8450641632080078, 3.5105361938476562]",1618
"[8.310572624206543, 0.390392541885376]",6145
"[3.2723989486694336, -0.3353910446166992]",2441
"[8.250482559204102, 4.713881969451904]",21234
