OBJECTID,Shape_Area_1,height,aggregated_area
10589,23160.8737875,27.91,98922397.38802734
15256,5172.25045,12.23,144900536.8792248
18954,6748.6905,22.67,297179674.4033199
19084,6750.82875,24.47,137861748.4253289
24079,4723.200091601562,21.33,135156874.4365961
